Accounting
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
543,ANAE,301,001,Field Course (GDEU),2.000,"TCP Anesthesia.",,TBA,235,0,0,0,TBA,12/18-04/28,TBA,Active
,,,,,,,W,08:35 am-11:25 am,,,,,TBA,01/17-01/17,MCMED 208/9,Active
,,,,,,,W,09:05 am-11:55 am,,,,,TBA,02/21-02/21,MCMED 208/9,Active
,,,,,,,W,01:05 pm-03:55 pm,,,,,TBA,02/21-02/21,MCMED 325,Active
,,,,,,,T,12:35 pm-03:55 pm,,,,,TBA,02/27-02/27,MCMED 208/9,Active
Anatomy & Cell Biology
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1056,ANAT,212,001,Lecture,3.000,"Molecular Mechanisms of Cell Function.",MWF,10:35 am-11:25 am,155,0,0,0,"Robert Scott Kiss, Marc Robert Fabian, Maria  Vera Ugalde, William Abraham Pastor, Dieter  Reinhardt",01/04-04/12,STBIO S1/4,Active
,,,,,,,MWF,10:35 am-11:25 am,,,,,"Robert Scott Kiss, Marc Robert Fabian, Maria  Vera Ugalde, William Abraham Pastor, Dieter  Reinhardt",01/04-04/12,STBIO S3/3,Active
,,,,,,,R,10:35 am-11:25 am,,,,,"Robert Scott Kiss, Marc Robert Fabian, Maria  Vera Ugalde, William Abraham Pastor, Dieter  Reinhardt",04/11-04/11,STBIO S1/4,Active
,,,,,,,R,10:35 am-11:25 am,,,,,"Robert Scott Kiss, Marc Robert Fabian, Maria  Vera Ugalde, William Abraham Pastor, Dieter  Reinhardt",04/11-04/11,STBIO S3/3,Active
1057,ANAT,262,001,Lecture,3.000,"Introductory Molecular and Cell Biology.",TR,04:05 pm-05:25 pm,225,5,0,5,"John  Presley, Susanne  Bechstedt, Khanh Huy  Bui, Ursula  Stochaj",01/04-04/09,SADB M-1,Active
7615,ANAT,262,002,Midterm Exam,0.000,"Introductory Molecular and Cell Biology.",R,05:35 pm-08:25 pm,220,0,0,0,TBA,02/29-02/29,ENGMC 13,Registration Not Required
,,,,,,,R,05:35 pm-08:25 pm,,,,,TBA,02/29-02/29,ADAMS AUD,Registration Not Required
1058,ANAT,314,001,Lecture,3.000,"Human Musculoskeletal Anatomy.",WF,03:35 pm-04:25 pm,100,0,0,0,"Campbell  Rolian",01/04-04/12,SADB 2/36,Active
